ID,HomoA,LumoA,GapA,HomoAH,LumoAH,GapAH,HomoAH2,LumoAH2,GapAH2,SMILES,redoxpot1,redoxpot2
1210,-6.1924,-2.3557,3.8368,-6.0104,-2.2552,3.7551,-4.8743,-0.9287,3.9456,O1C(=O)c2c(C1=O)cc(c(c2)N)N,-0.7348,-0.1775
1211,-8.7576,-3.7508,5.0068,-8.2841,-3.7127,4.5714,-5.6830,-2.7714,2.9116,O1C(=O)c2c(C1=O)cc(c(c2)N(=O)=O)N(=O)=O,-0.1240,0.3457
1212,-5.8724,-2.4166,3.4558,-5.7170,-2.3429,3.3742,-4.8871,-0.9959,3.8912,O1C(=O)c2c(C1=O)cc(c(c2)N(C)C)N(C)C,-0.7091,-0.1396
121,-7.3429,-3.6694,3.6735,-7.0008,-3.5723,3.4286,-6.0716,-0.0852,5.9864,C1=C(C=CC(=O)C1=O)C,0.9637,1.4598
1214,-6.9317,-2.7684,4.1633,-6.6686,-2.6958,3.9728,-5.1538,-1.5891,3.5646,O1C(=O)c2c(C1=O)cc(c(c2)C=C)C=C,-0.5628,-0.0574
1213,-8.5462,-3.5121,5.0340,-7.9788,-3.3802,4.5987,-5.5412,-2.2215,3.3197,O1C(=O)c2c(C1=O)cc(c(c2)C#N)C#N,-0.2114,0.2397
1216,-7.8757,-3.0321,4.8436,-7.5094,-2.9380,4.5714,-5.4136,-1.8218,3.5919,O1C(=O)c2c(C1=O)c(c(c(c2)Cl)Cl)Cl,-0.4265,0.0936
1215,-8.1723,-2.9206,5.2517,-7.7325,-2.8346,4.8980,-5.4313,-1.4857,3.9456,O1C(=O)c2c(C1=O)c(c(c(c2)F)F)F,-0.4758,0.0485
1218,-6.8664,-2.8664,4.0000,-6.5973,-2.8422,3.7551,-5.2302,-1.6112,3.6191,O1C(=O)c2c(C1=O)c(c(c(c2)S)S)S,-0.4855,-0.0718
1217,-6.9081,-2.5543,4.3538,-6.5769,-2.4136,4.1633,-4.9856,-0.9584,4.0272,O1C(=O)c2c(C1=O)c(c(c(c2)O)O)O,-0.7479,-0.0805
1220,-7.3864,-2.5157,4.8708,-7.0242,-2.4256,4.5987,-4.9856,-1.0400,3.9456,O1C(=O)c2c(C1=O)c(c(c(c2)C)C)C,-0.6655,-0.1065
1219,-7.0539,-2.5369,4.5170,-6.8515,-2.5249,4.3265,-5.0460,-1.1820,3.8640,O1C(=O)c2c(C1=O)c(c(c(c2)OC)OC)OC,-0.6287,0.0188
122,-7.1497,-3.7211,3.4286,-6.9423,-3.6226,3.3197,-6.2098,-0.0329,6.1769,C1(=CC=CC(=O)C1=O)C,1.0542,1.5119
1222,-8.9089,-3.3578,5.5510,-8.3426,-3.2542,5.0885,-5.6049,-2.3940,3.2109,O1C(=O)c2c(C1=O)c(c(c(c2)C(F)(F)F)C(F)(F)F)C(F)(F)F,-0.2687,0.2307
1221,-8.0686,-2.9257,5.1429,-7.7053,-2.8618,4.8436,-5.3744,-1.8370,3.5374,O1C(=O)c2c(C1=O)c(c(c(c2)[SiH3])[SiH3])[SiH3],-0.4878,0.0730
1224,-8.9429,-3.6095,5.3334,-8.4607,-3.5627,4.8980,-5.7695,-2.8580,2.9116,O1C(=O)c2c(C1=O)c(c(c(c2)S([O])(O)[O])S([O])(O)[O])S([O])(O)[O],-0.1298,0.4406
1223,-8.4887,-3.2370,5.2517,-8.0321,-3.1886,4.8436,-5.4411,-2.3391,3.1021,O1C(=O)c2c(C1=O)c(c(c(c2)P(=O)(O)O)P(=O)(O)O)P(=O)(O)O,-0.3200,0.6299
1225,-7.9089,-3.6368,4.2721,-7.6844,-3.4939,4.1905,-5.4430,-3.0212,2.4218,O1C(=O)c2c(C1=O)c(c(c(c2)C=O)C=O)C=O,0.3811,-0.0281
1226,-8.4648,-3.3763,5.0885,-8.2033,-3.3053,4.8980,-5.4504,-2.6476,2.8027,O1C(=O)c2c(C1=O)c(c(c(c2)C(=O)O)C(=O)O)C(=O)O,-0.3042,0.4503
1227,-8.3845,-3.2961,5.0885,-8.0237,-3.2346,4.7891,-5.5328,-2.4852,3.0476,O1C(=O)c2c(C1=O)c(c(c(c2)C(=O)OC)C(=O)OC)C(=O)OC,-0.3270,0.2291
1228,-5.9916,-2.2909,3.7007,-5.9149,-2.2142,3.7007,-4.7078,-0.7350,3.9728,O1C(=O)c2c(C1=O)c(c(c(c2)N)N)N,-0.8664,-0.2023
1229,-8.8090,-3.8566,4.9524,-8.4637,-3.6746,4.7891,-5.7856,-3.5815,2.2041,O1C(=O)c2c(C1=O)c(c(c(c2)N(=O)=O)N1OO1)N(=O)=O,-0.1510,0.5455
1230,-5.5002,-2.3165,3.1837,-5.5848,-2.3739,3.2109,-4.8724,-0.9812,3.8912,O1C(=O)c2c(C1=O)c(c(c(c2)N(C)C)N(C)C)N(C)C,-0.7982,-0.1163
123,-7.5334,-3.8871,3.6463,-7.2626,-3.7252,3.5374,-6.3200,-0.3880,5.9320,C1=C(C=CC(=O)C1=O)[SiH3],1.1059,1.5590
1231,-8.7696,-3.7355,5.0340,-8.2256,-3.5997,4.6259,-5.7162,-3.0223,2.6939,O1C(=O)c2c(C1=O)c(c(c(c2)C#N)C#N)C#N,-0.1151,0.3047
1232,-6.8365,-2.7548,4.0816,-6.6074,-2.6890,3.9184,-5.1135,-1.7937,3.3197,O1C(=O)c2c(C1=O)c(c(c(c2)C=C)C=C)C=C,-0.5628,-0.0377
1233,-7.9426,-2.9902,4.9524,-7.5821,-2.9290,4.6531,-5.4253,-1.3981,4.0272,O1C(=O)c2c(C1=O)c(F)cc(c2F)F,-0.4469,0.0670
1235,-6.6531,-2.5987,4.0544,-6.4261,-2.4806,3.9456,-4.8800,-0.9616,3.9184,O1C(=O)c2c(C1=O)c(O)cc(c2O)O,-0.7156,-0.1781
1234,-7.6879,-3.0621,4.6259,-7.5053,-3.0427,4.4626,-5.4895,-1.8433,3.6463,O1C(=O)c2c(C1=O)c(Cl)cc(c2Cl)Cl,-0.4109,0.1479
1236,-6.5494,-2.9031,3.6463,-6.3598,-2.8223,3.5374,-5.1587,-1.6757,3.4830,O1C(=O)c2c(C1=O)c(S)cc(c2S)S,-0.5369,-0.0285
1237,-6.6245,-2.4612,4.1633,-6.7747,-2.5026,4.2721,-4.8104,-1.1097,3.7007,O1C(=O)c2c(C1=O)c(OC)cc(c2OC)OC,-0.6324,-0.0905
1238,-7.2493,-2.5146,4.7347,-6.9712,-2.4269,4.5442,-4.9810,-1.0626,3.9184,O1C(=O)c2c(C1=O)c(C)cc(c2C)C,-0.6478,-0.1284
1240,-8.9527,-3.2928,5.6599,-8.4746,-3.3045,5.1701,-5.6237,-2.5489,3.0748,O1C(=O)c2c(C1=O)c(C(F)(F)F)cc(c2C(F)(F)F)C(F)(F)F,-0.3099,0.2477
1239,-8.0395,-2.8694,5.1701,-7.7497,-2.8245,4.9252,-5.4297,-1.9739,3.4558,O1C(=O)c2c(C1=O)c([SiH3])cc(c2[SiH3])[SiH3],-0.4778,0.0144
