name,pz_C2_pop,px_O_pop,NBO_C_diazo,NBO_N1,NBO_N2,NBO_C_carbonyl,NBO_O,HOMO,ΔG,ΔG_fromAdd,adduct,ΔG-ΔG_O,ΔG_O,ΔG_C_fromDiazo,ΔG_C,ΔG-ΔG_C,BCl3_Role,ΔΔG,Overall performance
18_20,1.2573,1.8447200000000001,-0.09,0.08199999999999999,0.07,0.5429999999999999,-0.594,-6.916,29.08,39.41,-10.34,19.45,9.63,13.1,23.44,5.63,1,13.81,19.45
10_16,1.2651299999999999,1.8748,-0.083,0.087,0.08,0.516,-0.613,-7.256,29.9,41.27,-11.37,15.8,14.1,11.27,22.64,7.26,1,8.54,15.8
1_17,1.27475,1.8620900000000002,-0.109,0.091,0.087,0.3670000000000001,-0.6,-7.274,30.95,45.49,-14.55,17.25,13.7,12.94,27.48,3.46,1,13.78,17.25
17_8,1.28136,1.85453,0.01,0.08900000000000001,0.182,0.5379999999999999,-0.5429999999999999,-8.711,33.25,35.23,-1.98,-2.9,36.15,28.2,30.18,3.07,1,-5.97,3.07
17_5,1.30209,1.8577599999999999,-0.134,0.048,0.094,0.52,-0.581,-7.981,28.27,36.5,-8.23,6.75,21.52,14.65,22.88,5.39,1,1.36,6.75
17_1,1.2579200000000001,1.8748,-0.33,0.076,0.05,0.522,-0.603,-8.062000000000001,36.92,48.53,-11.62,10.33,26.58,10.9,22.51,14.4,1,-4.07,14.4
5_5,1.36839,1.7838599999999998,-0.17600000000000002,0.064,0.154,0.501,-0.527,-8.408,28.64,27.84,0.8,0.69,27.95,14.33,14.33,14.31,1,-13.62,14.31
5_8,1.3553600000000001,1.7758099999999999,-0.02,0.098,0.237,0.515,-0.489,-9.62,36.37,30.86,5.51,-7.9,44.27,32.67,32.67,3.7,1,-11.59,3.7
4_3,1.29742,1.81112,-0.15,0.09,0.073,0.9009999999999999,-0.606,-8.017000000000001,31.74,35.34,-3.6,5.22,26.52,16.74,20.35,11.39,1,-6.17,11.39
11_4,1.2589700000000001,1.86827,0.36,0.011000000000000001,0.1,0.418,-0.557,-8.229,20.71,30.18,-9.47,-6.58,27.3,10.09,19.56,1.16,1,-7.74,1.16
16_21,1.27554,1.8549799999999999,-0.098,0.092,0.105,0.5529999999999999,-0.59,-7.607,34.52,42.14,-7.63,15.3,19.21,15.95,23.58,10.93,1,4.37,15.3
17_21,1.2748899999999999,1.85382,-0.098,0.091,0.10400000000000001,0.5529999999999999,-0.59,-7.622000000000001,34.64,42.43,-7.79,15.0,19.65,16.55,24.35,10.3,1,4.7,15.0
11_1,1.29207,1.6844599999999998,-0.317,0.084,0.076,0.461,-0.5760000000000001,-8.249,37.13,49.34,-12.21,4.21,32.92,12.47,24.68,12.45,1,-8.25,12.45
21_5,1.28721,1.85155,-0.136,0.05,0.10800000000000001,0.517,-0.5710000000000001,-8.115,29.57,35.97,-6.4,7.72,21.85,15.85,22.25,7.31,1,0.4,7.72
20_7,1.2871,1.8420900000000002,-0.223,0.08800000000000001,0.10800000000000001,0.544,-0.591,-7.875,37.16,43.88,-6.72,7.47,29.69,23.1,29.82,7.34,1,0.13,7.47
6_2,1.29244,1.7613299999999998,-0.133,0.094,0.10800000000000001,0.486,-0.541,-8.152999999999999,33.75,35.32,-1.57,14.88,18.87,13.39,14.96,18.79,1,-3.91,18.79
12_11,1.33333,1.8343,-0.18899999999999997,0.107,0.105,0.8290000000000001,-0.63,-7.752999999999999,29.02,28.6,0.42,6.27,22.75,11.98,11.98,17.04,1,-10.78,17.04
7_16,1.28021,1.8651200000000001,-0.10099999999999999,0.09,0.128,0.444,-0.56,-7.561,30.26,30.19,0.07,20.05,10.21,17.77,17.77,12.49,1,7.55,20.05
20_13,1.0581200000000002,1.80405,0.22699999999999998,0.037000000000000005,0.067,0.5,-0.595,-7.694,16.88,28.01,-11.13,9.24,7.65,12.18,23.31,-6.43,1,15.66,9.24
