name,pz_C2_pop,px_O_pop,NBO_C_diazo,NBO_N1,NBO_N2,NBO_C_carbonyl,NBO_O,HOMO,ΔG,ΔG_fromAdd,adduct,ΔG-ΔG_O,ΔG_O,ΔG_C_fromDiazo,ΔG_C,ΔG-ΔG_C,BCl3_Role,ΔΔG,Overall performance
5_15,1.32084,1.77292,0.034,0.076,0.10800000000000001,0.526,-0.54,-8.195,8.28,12.12,-3.84,9.01,-0.73,15.01,18.84,-10.56,1,19.57,9.01
12_10,1.29795,1.8196599999999998,-0.15,0.09699999999999999,0.07400000000000001,0.823,-0.643,-7.359,34.57,36.5,-1.93,9.13,25.44,10.19,12.12,22.45,1,-13.32,22.45
10_21,1.27348,1.86335,-0.08900000000000001,0.092,0.106,0.521,-0.607,-7.625,33.95,41.56,-7.61,16.8,17.15,13.83,21.44,12.51,1,4.29,16.8
7_3,1.2662799999999999,1.8712799999999998,-0.09699999999999999,0.078,0.087,0.436,-0.573,-8.07,32.21,34.2,-1.99,14.8,17.41,20.17,22.16,10.05,1,4.75,14.8
5_7,1.3586200000000002,1.7773599999999998,-0.252,0.10400000000000001,0.171,0.524,-0.527,-9.207,39.89,37.08,2.81,-2.57,42.46,29.43,29.43,10.47,1,-13.04,10.47
18_7,1.2614299999999998,1.8427200000000001,-0.225,0.09,0.121,0.546,-0.579,-8.592,38.0,42.78,-4.78,6.34,31.66,25.61,30.39,7.61,1,-1.27,7.61
2_20,1.26501,1.84938,-0.094,0.081,0.057,0.555,-0.607,-6.843,29.71,43.8,-14.09,17.05,12.66,11.68,25.77,3.94,1,13.11,17.05
5_13,1.13877,1.6777,0.19,0.055,0.134,0.486,-0.532,-8.105,16.77,18.25,-1.48,6.28,10.48,12.41,13.89,2.88,1,3.41,6.28
8_6,1.3794,1.80423,-0.255,0.086,0.17600000000000002,0.605,-0.516,-8.529,32.94,24.46,8.48,0.22,32.72,22.14,22.14,10.8,1,-10.58,10.8
12_19,1.2915299999999998,1.8400400000000001,-0.132,0.096,0.081,0.825,-0.643,-7.379,31.17,33.65,-2.47,8.8,22.38,12.55,15.02,16.15,1,-7.35,16.15
11_22,1.27091,1.8516700000000001,-0.10099999999999999,0.091,0.099,0.486,-0.5489999999999999,-7.6560000000000015,32.26,43.38,-11.12,10.53,21.73,13.93,25.05,7.21,1,3.32,10.53
11_3,1.2551700000000001,1.86175,-0.07,0.083,0.062,0.474,-0.586,-7.822,31.52,44.63,-13.11,10.91,20.61,17.12,30.22,1.3,1,9.61,10.91
2_16,1.27168,1.8669,-0.096,0.08900000000000001,0.07400000000000001,0.555,-0.615,-7.246,29.48,45.64,-16.16,12.79,16.69,9.92,26.08,3.4,1,9.39,12.79
1_14,1.07891,1.6387599999999998,0.201,0.045,0.083,0.32299999999999995,-0.589,-7.8329999999999975,17.46,31.92,-14.46,9.76,7.7,11.41,25.86,-8.4,1,18.16,9.76
9_3,1.2545600000000001,1.8530200000000001,-0.069,0.086,0.107,0.442,-0.5589999999999999,-8.182,30.82,39.09,-8.27,10.99,19.84,19.55,27.82,3.01,1,7.98,10.99
19_14,0.88726,1.7488299999999999,0.226,0.045,0.086,0.4970000000000001,-0.583,-7.8039999999999985,18.49,28.22,-9.74,11.09,7.4,14.96,24.69,-6.2,1,17.29,11.09
5_4,1.2900399999999999,1.7479099999999999,0.316,0.022000000000000002,0.136,0.456,-0.527,-8.517000000000001,20.21,20.15,0.06,-5.95,26.16,10.98,10.98,9.23,1,-15.19,9.23
12_15,1.29358,1.8308099999999998,0.048,0.061,0.038,0.8,-0.642,-7.535,8.87,18.05,-9.18,6.09,2.78,10.16,19.34,-10.47,1,16.56,6.09
